,Year,State Name,RICE HARVEST PRICE (Rs per Quintal),ANNUAL RAINFALL (Millimeters),RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),RICE IRRIGATED AREA (1000 ha)
0,1966,1,794.638674145844,753.8795931633689,34.34054054054054,10.113513513513514,392.85621621621624,4.286486486486487
48,1966,0,351.0449799196787,993.25,485.1666666666667,255.33333333333337,513.37,69.56666666666666
95,1966,2,355.5758072559531,382.7217391304348,2.9923076923076923,0.8615384615384615,224.67961538461535,0.7153846153846154
96,1967,2,411.3199351701783,597.4608695652174,3.6692307692307695,3.657692307692307,368.26,1.0846153846153843
1,1967,1,546.4850688424273,1142.375,33.78108108108108,22.416216216216217,641.9956756756757,4.308108108108108
49,1967,0,90.38333333333333,1411.0166666666669,487.0,393.1666666666667,790.605,65.85000000000001
2,1968,1,583.3800101988782,887.1405405405404,35.37027027027027,18.07027027027027,517.484054054054,4.954054054054055
97,1968,2,358.4382558284503,380.1565217391304,4.973076923076923,2.1961538461538463,264.1826923076923,1.526923076923077
50,1968,0,91.25,1212.2333333333331,494.0333333333333,371.3333333333333,730.4833333333332,79.75
98,1969,2,332.43395461912485,463.508695652174,4.584615384615384,3.8115384615384618,341.7626923076923,1.5653846153846156
51,1969,0,89.73333333333333,1139.9666666666667,497.18333333333334,383.26666666666665,754.77,81.38333333333334
3,1969,1,541.0147985721571,1173.04,36.25135135135135,24.8972972972973,589.3756756756757,5.054054054054054
52,1970,0,82.95,1503.694099756691,502.3666666666666,457.8833333333334,862.4533333333334,74.10000000000001
99,1970,2,350.9190250592195,571.2869565217392,4.519230769230769,5.207692307692308,492.1092307692307,1.2846153846153845
4,1970,1,540.6769607343192,1175.3676470588234,36.17297297297298,25.55135135135135,649.0018918918919,4.727027027027027
100,1971,2,361.9425570377758,597.2086956521739,5.107692307692308,6.138461538461538,507.1426923076923,1.6384615384615384
53,1971,0,85.88333333333333,1564.15,508.2166666666667,422.6666666666667,819.3833333333333,79.89999999999999
5,1971,1,539.9120958694544,1333.8514285714286,39.06216216216216,31.3972972972973,731.2494594594594,5.04054054054054
101,1972,2,437.3357748410423,361.6478260869565,5.2153846153846155,3.1384615384615384,337.2192307692308,1.723076923076923
54,1972,0,103.76666666666668,1186.5,510.4500000000001,375.3333333333333,694.94,78.86666666666666
6,1972,1,547.9175012748598,897.9742857142857,39.28378378378378,24.02432432432432,629.2318918918918,5.010810810810811
102,1973,2,360.1647238498941,774.0217391304348,5.107692307692308,4.553846153846154,446.8896153846154,1.6423076923076925
7,1973,1,561.3472310045895,1335.3891891891892,38.01081081081081,27.66756756756757,735.7024324324325,4.281081081081081
55,1973,0,126.2,1482.85,517.2333333333332,423.15,816.2950000000001,74.25
8,1974,1,593.8580418154004,910.3675675675676,37.86486486486486,16.67297297297297,483.3545945945946,4.789189189189189
56,1974,0,199.0,905.4,515.1,298.98333333333335,579.2533333333333,65.8
103,1974,2,428.3185700037402,457.8739130434783,4.9692307692307685,3.838461538461538,489.8692307692308,1.9423076923076923
9,1975,1,567.360744518103,1197.681081081081,38.62162162162162,29.845945945945942,732.6462162162162,4.848648648648648
57,1975,0,164.28333333333333,1478.4166666666667,520.3333333333334,454.6666666666667,862.5633333333334,72.58333333333333
104,1975,2,422.3199351701783,769.7260869565217,5.926923076923076,8.55,615.881923076923,2.2192307692307693
10,1976,1,563.0877715451301,1058.081081081081,39.85405405405405,23.905405405405407,619.5778378378378,5.167567567567568
105,1976,2,519.0943772596934,700.3652173913043,6.115384615384615,8.192307692307692,889.676153846154,2.2
58,1976,0,150.18333333333334,1125.8833333333334,520.7666666666668,327.90000000000003,606.355,89.81666666666666
59,1977,0,146.51666666666665,1394.0833333333333,527.7666666666667,535.9833333333333,990.635,94.61666666666667
106,1977,2,440.9579416531605,646.2767710049424,7.050000000000001,9.069230769230767,915.7576923076924,2.1461538461538465
11,1977,1,567.0661499235084,1159.237837837838,41.41621621621622,32.55135135135136,712.9027027027028,5.3
107,1978,2,413.6002493454681,609.6739130434783,8.1,8.976923076923077,751.0769230769231,3.0846153846153848
60,1978,0,139.25,1316.3,536.75,408.3,752.16,102.5
12,1978,1,386.7103620601734,1143.6945945945945,42.432432432432435,28.14324324324324,631.6083783783783,5.532432432432432
61,1979,0,271.87054886211513,857.1166666666667,536.7166666666667,250.3,447.635,102.13333333333334
13,1979,1,398.78586435492093,762.6864864864865,41.04324324324324,9.483783783783784,255.26594594594596,5.127027027027027
108,1979,2,464.362242862486,456.52608695652174,7.126923076923077,3.857692307692308,371.1765384615385,2.965384615384615
62,1980,0,183.28333333333333,1476.0666666666666,549.9833333333332,474.7166666666667,855.4333333333334,103.66666666666669
14,1980,1,475.4326772055074,1071.8324324324326,41.32702702702702,32.27567567567568,663.6864864864865,5.302702702702702
109,1980,2,498.9319286871961,413.5772727272728,6.553846153846154,5.769230769230769,516.615,2.8076923076923075
63,1981,0,269.7872155287818,1142.55,549.4833333333333,469.0333333333333,832.6583333333333,106.33333333333331
110,1981,2,503.05500561027304,435.6863636363637,5.384615384615385,5.3307692307692305,457.1296153846154,1.6730769230769231
15,1981,1,379.2965017848037,928.0594594594594,40.92162162162162,27.478378378378377,572.1905405405405,5.07027027027027
64,1982,0,240.91666666666663,1122.2833333333333,548.1666666666666,400.63333333333327,729.1183333333333,116.21666666666668
111,1982,2,522.7165440718115,529.4363636363637,4.553846153846154,3.5115384615384615,527.7523076923077,1.3192307692307692
16,1982,1,454.9159408465069,1113.391891891892,39.445945945945944,26.72432432432432,684.1543243243243,5.094594594594595
17,1983,1,352.3228352881183,1143.1819110206095,41.3054054054054,34.57297297297298,835.3321621621621,5.154054054054054
65,1983,0,266.71666666666664,1264.9166666666667,553.9666666666667,558.7666666666667,962.33,112.7
112,1983,2,498.4690250592196,665.0818181818181,6.1923076923076925,8.36153846153846,648.2373076923076,2.1115384615384616
66,1984,0,247.03333333333333,1218.1,555.4666666666667,490.2833333333333,842.5066666666667,127.51666666666668
113,1984,2,551.3242363795039,432.5136363636363,6.5346153846153845,8.188461538461539,593.6642307692308,2.0653846153846156
18,1984,1,362.9174298827129,972.2189189189188,39.70810810810811,19.548648648648648,587.8778378378378,5.178378378378378
19,1985,1,369.62553799082104,999.499063618413,41.59189189189189,37.25675675675676,885.1232432432432,5.264864864864865
114,1985,2,612.0294476997881,429.95909090909095,5.053846153846154,4.588461538461539,366.3446153846154,1.9615384615384617
67,1985,0,254.13333333333333,1230.3,564.35,728.5999999999999,1216.12,117.58333333333331
68,1986,0,250.58333333333337,1340.2166666666667,575.5,548.3333333333334,916.645,140.68333333333334
115,1986,2,605.5900760503678,454.99545454545455,5.726923076923077,5.061538461538461,480.5646153846154,2.3653846153846154
20,1986,1,402.5390515043345,976.4486486486486,41.13783783783784,26.22972972972973,661.9924324324325,5.651351351351352
116,1987,2,648.8371400074805,331.2318181818182,3.6769230769230767,2.95,323.40653846153845,1.7115384615384617
21,1987,1,407.5174298827129,903.7135135135136,33.983783783783785,24.37837837837838,710.5597297297297,4.3108108108108105
69,1987,0,277.28333333333336,1121.9,570.3333333333334,531.6666666666666,885.9633333333335,136.29999999999998
22,1988,1,442.525537990821,993.5486486486489,41.972972972972975,35.18378378378378,805.0124324324324,5.418918918918919
117,1988,2,616.0828387981549,497.79545454545456,4.980769230769231,7.084615384615385,566.5238461538461,1.8884615384615384
70,1988,0,347.40000000000003,1097.4166666666667,576.8833333333333,589.7,1003.94,133.86666666666665
23,1989,1,537.7537786843448,810.667248241392,40.1,27.835135135135136,702.9913513513513,5.013513513513513
71,1989,0,337.71666666666664,1234.2274330900243,585.5166666666667,600.4499999999999,993.2783333333332,139.03333333333333
118,1989,2,568.5631529734447,410.2681818181818,4.569230769230769,5.811538461538461,473.6215384615385,1.6884615384615385
119,1990,2,665.0900760503678,749.2576923076923,4.622307692307692,5.466923076923076,808.1507692307694,105.61879482955268
72,1990,0,370.0,1486.1166666666668,593.7333333333333,717.2333333333332,1177.86,138.77666666666667
24,1990,1,495.76372259051504,1282.0162162162162,40.98108108108108,37.6945945945946,931.9564864864864,170.75789522399108
73,1991,0,453.73721552878175,1095.9166666666667,595.5,711.7333333333332,1148.9683333333337,156.06
25,1991,1,570.1856909739928,851.2324324324323,41.056756756756755,25.354054054054053,790.7051351351352,171.119787115883
120,1991,2,736.9918962722852,455.9269230769231,5.390000000000001,4.59576923076923,536.2396153846154,43.17274870105184
26,1992,1,617.0130647628761,862.3891891891891,41.43783783783784,30.95405405405405,773.2329729729729,171.4743817104776
121,1992,2,744.1457424261314,635.3,5.449230769230768,6.7226923076923075,795.5253846153846,43.75774870105184
74,1992,0,493.23721552878175,1065.2,597.9833333333333,682.9333333333334,1074.743333333333,163.265
27,1993,1,660.8831616522183,1059.4783783783782,41.26756756756757,35.29189189189189,826.3559459459459,171.4133006293965
75,1993,0,540.7372155287818,1089.5833333333333,608.9833333333333,769.5500000000001,1202.3633333333332,162.51166666666666
122,1993,2,711.6371400074804,522.1692307692308,5.413076923076924,4.117307692307692,612.7938461538462,43.69659485489798
123,1994,2,804.7226655030544,697.6038461538462,6.12,6.662307692307692,1107.205384615385,85.63511278671906
28,1994,1,714.3373890872004,1308.345945945946,42.5,38.35945945945946,852.0378378378379,171.6078952239911
76,1994,0,573.8333333333334,1715.8333333333333,622.9166666666666,833.9499999999999,1306.5166666666669,168.50666666666666
29,1995,1,875.6338194798573,933.4648648648648,42.77837837837838,31.67027027027027,633.3037837837838,171.72167900777487
124,1995,2,864.8914412168059,610.9884615384616,5.364230769230769,4.522307692307693,550.5834615384615,64.86489228234699
77,1995,0,771.3333333333334,1206.0666666666666,620.2666666666667,771.2166666666667,1183.34,172.15333333333334
30,1996,1,939.5945945945946,1202.7027027027027,42.0945945945946,34.32432432432432,898.3013513513514,171.74113846723435
78,1996,0,879.6666666666666,1107.5833333333333,615.7666666666667,815.3166666666666,1283.2316666666666,173.1233333333333
125,1996,2,900.2375950629598,753.3846153846154,5.658076923076924,6.701538461538462,712.1373076923077,85.71665124825752
79,1997,0,940.0,1345.8666666666666,628.3833333333333,549.85,849.3183333333333,174.915
126,1997,2,911.891441216806,643.0038461538461,6.380769230769231,7.318076923076924,711.3026923076923,65.42643074388545
31,1997,1,927.1351351351352,1168.0702702702702,43.7027027027027,32.137837837837836,781.5156756756758,144.24396674071332
127,1998,2,785.6118314424637,543.5038461538462,6.464230769230769,7.903846153846154,770.266923076923,66.26719997465467
32,1998,1,814.8064150943396,960.1972972972974,40.270270270270274,35.372972972972974,883.6981081081082,116.85760582500308
80,1998,0,631.4232931726907,1188.6666666666667,671.8166666666667,573.3666666666667,858.5066666666667,171.66166666666666
33,1999,1,814.8064150943396,1197.9756756756756,45.96756756756756,46.21621621621622,979.2005405405404,117.3119301493274
128,1999,2,785.6118314424637,467.65769230769234,7.701153846153847,9.715384615384616,857.3619230769231,46.596979470282605
81,1999,0,631.4232931726907,1302.0166666666669,650.4916666666667,842.5450000000001,1257.3583333333331,189.34833333333333
129,2000,2,785.6118314424637,394.5307692307692,6.395384615384615,5.989230769230769,571.0353846153846,66.64873843619314
34,2000,1,814.8064150943396,721.1675675675676,45.88648648648648,26.35675675675676,566.6183783783785,89.79962328767124
35,2001,1,814.8064150943396,941.1162162162163,47.73513513513514,45.56216216216216,796.1856756756756,90.07394761199556
130,2001,2,785.6118314424637,545.3076923076923,5.553846153846154,6.92576923076923,749.3784615384616,44.80659485489799
36,2002,1,814.8064150943396,809.5594594594595,45.16486486486486,27.700000000000003,567.9405405405405,116.74517339257063
82,2002,0,631.4232931726907,1230.9645985401462,629.61,439.145,690.6016666666666,162.74666666666667
131,2002,2,785.6118314424637,246.8653846153846,3.2146153846153847,2.612692307692307,353.14153846153846,64.4156615131162
37,2003,1,814.8064150943396,1172.0351351351353,46.178378378378376,47.11351351351352,962.2508108108108,88.78800166604961
132,2003,2,785.6118314424637,585.2038461538461,3.835,6.339230769230769,935.7042307692308,64.46373843619314
38,2004,1,1065.2824681285058,889.8162162162162,45.285405405405406,35.20567567567567,789.9332432432432,60.823532642231264
83,2004,0,868.0,1145.8333333333333,640.645,764.4683333333332,1160.2133333333334,184.855
133,2004,2,996.0303578107468,505.9525281966798,3.8988461538461534,5.786153846153846,862.836923076923,64.17912305157776
39,2005,1,1121.8334727180008,1012.1405405405404,45.95864864864865,45.607837837837835,851.5283783783783,61.62515426385289
84,2005,0,883.1666666666666,1285.6,640.645,764.4683333333332,1160.2133333333334,193.085
134,2005,2,1035.5751464904629,497.9269230769231,4.134615384615385,5.8876923076923084,836.5423076923076,43.525441008744146
135,2006,2,1034.9299027552674,641.9730769230769,4.146153846153846,6.532692307692307,904.4346153846152,64.26373843619314
85,2006,0,971.0,1195.0,627.2733333333333,884.56,1359.0716666666667,209.00333333333333
40,2006,1,1110.2449770525243,1072.3648648648648,45.244594594594595,37.5472972972973,811.1835135135135,61.82785696655559
136,2007,2,1196.4832938536342,499.8884615384616,4.916923076923077,9.988076923076925,935.5523076923076,64.85219997465468
41,2007,1,1202.0932789393166,872.6810810810811,44.18648648648649,23.636756756756757,542.5151351351352,62.15623534493396
86,2007,0,1026.0,1246.0833333333333,650.4833333333333,939.1633333333332,1403.995,212.425
137,2008,2,1272.3529796783444,511.0486820428336,5.131153846153846,9.273076923076925,843.2046153846154,3.0038461538461543
87,2008,0,1238.737215528782,1183.0166666666669,654.805,784.585,1192.5466666666669,212.505
42,2008,1,1472.9904028556855,857.2027027027027,46.12432432432432,28.025135135135137,568.51,35.88473929408861
138,2009,2,1460.468364293729,373.53329742744904,5.796538461538462,8.780384615384616,779.3903846153846,3.868846153846154
88,2009,0,1395.9038821954484,832.9666666666667,639.6,724.5516666666666,1091.8333333333333,201.49666666666667
43,2009,1,1342.5483732789394,781.1972972972973,43.056756756756755,36.63783783783784,861.5708108108108,35.39636091571023
89,2010,0,1337.4038821954484,1073.4833333333331,637.8683333333333,1059.4366666666667,1600.635,218.90333333333336
139,2010,2,1306.914973195362,694.7923076923076,5.0442307692307695,10.21346153846154,1031.9976923076922,3.1265384615384613
90,2011,0,1377.307764390897,1287.9833333333331,656.6383333333333,1050.1366666666663,1564.3466666666666,224.60333333333335
140,2011,2,1403.414973195362,728.4692307692308,5.167692307692308,9.74576923076923,1068.8115384615385,2.8488461538461536
91,2012,0,1568.237215528782,1262.9333333333332,663.6966666666666,1308.0683333333334,1913.1066666666663,234.13833333333332
141,2012,2,1581.829447699788,576.2076923076922,4.833461538461538,8.558846153846154,910.4084615384616,2.495
44,2012,1,1245.8953595104538,1049.8432432432433,48.41,80.30108108108108,1430.763243243243,40.2966311859805
142,2013,2,1706.4448323151726,684.8461538461538,5.599230769230768,12.022692307692308,1040.401153846154,3.2353846153846155
45,2013,1,1516.042993710692,1468.9378378378378,50.8527027027027,89.77648648648649,1397.2475675675676,15.04972972972973
92,2013,0,1598.807764390897,1320.9833333333331,664.625,1183.7916666666667,1758.0933333333332,234.46666666666667
143,2014,2,1657.752524622865,560.0384615384615,6.452692307692308,14.103076923076925,1098.3646153846153,4.429230769230769
93,2014,0,1814.284658634538,1250.9166666666667,672.6216666666667,1329.6266666666668,1939.225,240.3366666666667
46,2014,1,2489.8917711503345,872.2837837837837,55.5945945945946,95.20702702702702,1362.055945945946,19.03162162162162
47,2015,1,2773.6074716981134,1015.5864864864864,54.75675675675676,92.23405405405406,1343.5175675675675,19.486216216216217
94,2015,0,2425.7372155287817,1117.8833333333334,659.9583333333334,859.055,1263.07,232.04666666666665
144,2015,2,1572.2375950629598,611.1961538461538,7.035384615384615,14.22269230769231,979.851153846154,2.495
